" Frame3DD version: 20140514+               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2014, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example G: a building with a set-back (units: in  kip)               "
" Sat May 17 15:28:09 2014
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions 
 First Row , 1 , 17 , 34 , 84  
 Last Row , 1 , 31 , 81 , 98  

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
     1,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     2,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     3,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     4,  6.66558e-04,  5.08492e-01, -2.25624e-02, -1.05557e-02,  1.34416e-03,  1.66456e-05,
     5, -6.66558e-04,  5.08492e-01, -2.25624e-02, -1.05557e-02, -1.34416e-03, -1.66456e-05,
     6,    0.0,      5.10379e-01, -7.30718e-02, -7.99769e-03,    0.0,        0.0,    
     7,  9.76714e-04,  2.08441e+00, -4.16610e-02, -1.79170e-02,  1.38209e-04,  1.07260e-05,
     8, -9.76714e-04,  2.08441e+00, -4.16610e-02, -1.79170e-02, -1.38209e-04, -1.07260e-05,
     9,    0.0,      2.08518e+00, -1.45765e-01, -1.43295e-02,    0.0,        0.0,    
    10, -3.90198e-04,  5.18720e+00, -5.76521e-02, -2.43040e-02, -1.26537e-03, -5.40204e-06,
    11,  3.90198e-04,  5.18720e+00, -5.76521e-02, -2.43040e-02,  1.26537e-03,  5.40204e-06,
    12,    0.0,      5.18641e+00, -2.09931e-01, -1.90420e-02,    0.0,        0.0,    
    13,  2.25610e-03,  1.10260e+01, -7.20089e-02, -2.13630e-02,  7.84204e-04,  8.09311e-05,
    14, -2.25610e-03,  1.10260e+01, -7.20089e-02, -2.13630e-02, -7.84204e-04, -8.09311e-05,
    15,    0.0,      1.10353e+01, -2.54988e-01, -1.04432e-02,    0.0,        0.0,    
"F R A M E   E L E M E N T   E N D   F O R C E S  (local)"
Elmnt , Node  ,    Nx     ,    Vy   ,     Vz   ,     Txx   ,    Myy  ,     Mzz
     1,     1,  8.19021e+02, -4.90004e+01, -3.33685e+01, -1.19640e+00,  8.54538e+02, -5.93683e+03,
     1,     4, -8.16755e+02,  4.90004e+01,  3.33685e+01,  1.19640e+00,  1.81440e+03,  1.60091e+03,
     2,     2,  8.19021e+02, -4.90004e+01,  3.33685e+01,  1.19640e+00, -8.54538e+02, -5.93683e+03,
     2,     5, -8.16755e+02,  4.90004e+01, -3.33685e+01, -1.19640e+00, -1.81440e+03,  1.60091e+03,
     3,     3,  2.64998e+03, -1.02022e+02,      0.0,       0.0,       0.0,  -7.51476e+03,
     3,     6, -2.64772e+03,  1.02022e+02,      0.0,       0.0,       0.0,  -1.99890e+03,
     4,     4,  5.55274e+02, -4.15704e+01, -2.43797e+01,  3.40377e-01,  1.56306e+03, -4.61575e+03,
     4,     7, -5.52442e+02,  4.15704e+01,  2.43797e+01, -3.40377e-01,  8.74739e+02, -4.14119e+02,
     5,     5,  5.55274e+02, -4.15704e+01,  2.43797e+01, -3.40377e-01, -1.56306e+03, -4.61575e+03,
     5,     8, -5.52442e+02,  4.15704e+01, -2.43797e+01,  3.40377e-01, -8.74739e+02, -4.14119e+02,
     6,     6,  2.10951e+03, -1.16928e+02,      0.0,       0.0,       0.0,  -9.23130e+03,
     6,     9, -2.10668e+03,  1.16928e+02,      0.0,       0.0,       0.0,  -5.78134e+03,
     7,     7,  3.58566e+02, -4.64280e+01,  1.10251e+01,  7.13357e-01, -4.08706e+02, -4.97135e+03,
     7,    10, -3.54884e+02,  4.64280e+01, -1.10251e+01, -7.13357e-01, -1.02407e+03, -2.17114e+03,
     8,     8,  3.58566e+02, -4.64280e+01, -1.10251e+01, -7.13357e-01,  4.08706e+02, -4.97135e+03,
     8,    11, -3.54884e+02,  4.64280e+01,  1.10251e+01,  7.13357e-01,  1.02407e+03, -2.17114e+03,
     9,     9,  1.43325e+03, -1.07280e+02,      0.0,       0.0,       0.0,  -1.01710e+04,
     9,    12, -1.42957e+03,  1.07280e+02,      0.0,       0.0,       0.0,  -8.21460e+03,
    10,    10,  2.11006e+02, -4.83110e+01,  2.16763e+00, -2.48208e+00, -5.07115e+02, -5.02261e+03,
