"Example H: a pedestrian ramp (units: kip, in)",,,,,,,,,,,,
,,,,,,,,,,,,
"# node data ...",,,,,,,,,,,,
,,,,,,,,,,,,
148,,,,,"# number of nodes",,,,,,,
,,,,,,,,,,,,
"# CENTER BAY",,,,,,,,,,,,
,,,,,,,,,,,,
#.node,x,y,z,r,"units: inches and kips",,,,,,,
#,in,in,in,in,,,,,,,,
,,,,,,,,,,,,
1,-661,0,0,0,,,,,,,,
2,-541,0,0,0,,,,,,,,
3,-181,0,0,0,,,,,,,,
4,181,0,0,0,,,,,,,,
5,541,0,0,0,,,,,,,,
6,661,0,0,0,,,,,,,,
7,-661,0,60,0,,,,,,,,
8,-541,0,60,0,,,,,,,,
9,541,0,120,0,,,,,,,,
10,661,0,120,0,,,,,,,,
11,-661,0,180,0,,,,,,,,
12,-541,0,180,0,,,,,,,,
13,541,0,240,0,,,,,,,,
14,661,0,240,0,,,,,,,,
15,-661,0,300,0,,,,,,,,
16,-541,0,300,0,,,,,,,,
17,541,0,360,0,,,,,,,,
18,661,0,360,0,,,,,,,,
19,-661,0,420,0,,,,,,,,
20,-541,0,420,0,,,,,,,,
21,541,0,480,0,,,,,,,,
22,661,0,480,0,,,,,,,,
23,-661,0,540,0,,,,,,,,
24,-541,0,540,0,,,,,,,,
25,541,0,600,0,,,,,,,,
26,661,0,600,0,,,,,,,,
27,-661,0,660,0,,,,,,,,
28,-541,0,660,0,,,,,,,,
,,,,,,,,,,,,
29,181,0,20,0,,,,,,,,
30,-181,0,40,0,,,,,,,,
31,-181,0,80,0,,,,,,,,
32,181,0,100,0,,,,,,,,
33,181,0,140,0,,,,,,,,
34,-181,0,160,0,,,,,,,,
35,-181,0,200,0,,,,,,,,
36,181,0,220,0,,,,,,,,
37,181,0,260,0,,,,,,,,
38,-181,0,280,0,,,,,,,,
39,-181,0,320,0,,,,,,,,
40,181,0,340,0,,,,,,,,
41,181,0,380,0,,,,,,,,
42,-181,0,400,0,,,,,,,,
43,-181,0,440,0,,,,,,,,
44,181,0,460,0,,,,,,,,
45,181,0,500,0,,,,,,,,
46,-181,0,520,0,,,,,,,,
47,-181,0,560,0,,,,,,,,
48,181,0,580,0,,,,,,,,
49,181,0,620,0,,,,,,,,
50,-181,0,640,0,,,,,,,,
