" Frame3DD version: 20140514+               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2015, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example H: a pedestrian ramp (units: kip  in)               "
" Sun Nov  1 22:45:13 2015
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions , Internal Forces 
 First Row , 1 , 17 , 167 , 759  , 911  
 Last Row , 1 , 164 , 756 , 906 , 1500 

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
     1,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     2,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     3,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     4,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     5,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     6,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     7,    0.0,        0.0,        0.0,      2.45790e-04,  3.57488e-05,  1.39084e-06,
     8,  1.05973e-03,  4.33468e-05, -2.84881e-02, -6.79859e-07,  8.28470e-04, -2.98283e-06,
     9,  6.88593e-03, -3.84502e-04, -5.19705e-02,  5.54199e-06, -1.02381e-03, -8.44179e-06,
    10,  6.76908e-03, -1.06318e-03, -2.32779e-02,  1.26753e-05, -1.54953e-05, -1.01217e-05,
    11,    0.0,        0.0,        0.0,     -5.66209e-05,  1.09739e-04,  2.02573e-06,
    12,  4.02082e-04,  1.83612e-04, -7.50272e-02,  1.47028e-07,  9.49554e-04, -1.93896e-06,
    13,  2.94329e-03, -1.37166e-03, -9.33640e-02,  9.03073e-06, -9.07543e-04, -1.37308e-05,
    14,  3.13998e-03, -2.90808e-03, -4.20308e-02,  1.38486e-05, -1.09121e-04, -1.91086e-05,
    15,    0.0,        0.0,        0.0,      1.95868e-05,  1.52099e-04,  2.10194e-06,
    16,  1.28963e-04,  1.28941e-04, -1.11339e-01,  2.59113e-06,  9.91607e-04, -3.52903e-06,
    17,  2.13855e-03, -2.64262e-03, -1.24371e-01,  9.79641e-06, -9.63771e-04, -1.55362e-05,
    18,  2.32893e-03, -4.55711e-03, -5.60808e-02,  1.09081e-05, -7.74234e-05, -2.16731e-05,
    19,    0.0,        0.0,        0.0,     -3.49277e-05,  1.99466e-04,  1.25825e-06,
    20,  1.57225e-04, -1.25471e-04, -1.37680e-01,  4.04981e-06,  1.01763e-03, -6.58754e-06,
    21,  2.22644e-03, -3.86049e-03, -1.45099e-01,  8.68925e-06, -8.63520e-04, -1.37396e-05,
    22,  1.94337e-03, -5.76946e-03, -6.53075e-02,  7.67064e-06, -2.06643e-04, -2.19077e-05,
    23,    0.0,        0.0,        0.0,      1.43619e-04,  1.60558e-04,  1.10340e-06,
    24, -1.41808e-03, -4.26217e-04, -1.54221e-01,  4.19429e-06,  1.05399e-03, -1.41686e-05,
    25, -1.96834e-02, -4.83120e-03, -1.55655e-01,  6.14967e-06, -2.00476e-03, -1.80896e-05,
    26, -1.99070e-02, -6.60150e-03, -6.96462e-02,  5.13873e-06, -2.79706e-04, -1.84951e-05,
    27,    0.0,        0.0,        0.0,     -6.37037e-04,  4.63515e-04, -6.35464e-06,
    28,  1.30017e-03, -7.56499e-04, -1.61056e-01,  7.75010e-06,  1.09439e-03,  4.72099e-06,
    29,  1.33456e-04, -1.67550e-03, -1.37958e-02,  2.35626e-04,  1.88348e-05, -7.21991e-06,
    30,  5.10905e-04, -2.17894e-03, -2.75991e-02,  2.01706e-04,  2.72957e-05, -1.41346e-05,
    31,  2.84957e-03, -4.22384e-04, -5.26846e-02, -2.93947e-04,  2.32881e-05, -1.52272e-05,
    32,  4.91205e-03,  7.20174e-04, -6.39643e-02, -2.77967e-04,  2.70595e-05, -1.55480e-05,
    33,  3.96526e-03,  5.23032e-04, -8.65302e-02,  2.74299e-04, -1.03982e-05, -1.99568e-05,
    34,  1.59395e-03, -4.27457e-04, -9.78237e-02,  2.75602e-04, -7.92749e-06, -1.75081e-05,
    35,  2.40038e-03, -7.75965e-04, -1.17878e-01, -2.55268e-04, -7.69938e-06, -1.69735e-05,
    36,  3.40359e-03, -1.39584e-04, -1.26626e-01, -2.54887e-04, -3.22758e-05, -1.81033e-05,
    37,  9.60506e-04, -4.48165e-04, -1.44164e-01,  2.71251e-04, -2.07199e-05, -1.94613e-05,
    38, -8.76797e-05, -1.39627e-03, -1.52962e-01,  2.74371e-04,  8.83695e-06, -1.90932e-05,
    39,  1.92099e-03, -2.12762e-03, -1.67998e-01, -2.41892e-04,  1.13806e-05, -1.89401e-05,
    40,  2.66862e-03, -1.50086e-03, -1.74227e-01, -2.52437e-04, -1.45115e-05, -1.88314e-05,
    41,  4.93631e-04, -1.41505e-03, -1.86757e-01,  2.53055e-04, -8.63294e-06, -1.79186e-05,
    42, -2.95031e-04, -3.21186e-03, -1.93062e-01,  2.79715e-04,  1.65158e-05, -1.98331e-05,
    43,  2.13528e-03, -4.81752e-03, -2.03095e-01, -1.75688e-04,  8.64545e-06, -1.64341e-05,
    44,  2.95179e-03, -2.98938e-03, -2.06818e-01, -1.83299e-04, -4.65526e-05, -1.11051e-05,
    45, -1.77353e-03, -6.70872e-03, -2.14355e-01,  3.14452e-04, -1.10337e-04, -8.61395e-06,
    46, -3.02468e-03, -1.17580e-02, -2.18166e-01,  2.39597e-04, -4.72671e-05, -2.46257e-05,
    47, -3.77477e-03, -7.47365e-03, -2.23196e-01, -4.76971e-04, -3.50803e-05, -2.79975e-05,
    48, -9.68819e-03, -4.00872e-03, -2.24434e-01, -4.09476e-04, -9.20055e-05, -2.10413e-05,
