" Frame3DD version: 20140514+               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2014, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example I: a triangular tower (kip  in)               "
" Sat May 17 15:28:16 2014
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions 
 First Row , 1 , 17 , 34 , 84  
 Last Row , 1 , 31 , 81 , 98  

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
     1,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     2,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     3,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     4,  5.24935e-04,  2.64823e+00, -2.25941e-02, -5.62960e-02,  5.69760e-04, -5.24388e-05,
     5, -5.24954e-04,  2.64823e+00, -2.25941e-02, -5.62960e-02, -5.69761e-04,  5.24388e-05,
     6,    0.0,      2.64007e+00, -2.90698e-01, -4.59415e-02,    0.0,        0.0,    
     7,  2.90513e-03,  1.13415e+01, -3.40440e-02, -9.81693e-02, -6.60653e-03,  3.47186e-05,
     8, -2.90521e-03,  1.13415e+01, -3.40440e-02, -9.81693e-02,  6.60653e-03, -3.47189e-05,
     9, -3.41736e-08,  1.13442e+01, -5.82691e-01, -8.15202e-02,    0.0,        0.0,    
    10,  1.42890e-03,  2.79687e+01, -4.42725e-02, -1.24332e-01, -1.36308e-02,  1.20401e-04,
    11, -1.42910e-03,  2.79687e+01, -4.42725e-02, -1.24332e-01,  1.36308e-02, -1.20401e-04,
    12, -7.98630e-08,  2.79834e+01, -8.35141e-01, -1.00849e-01,    0.0,        0.0,    
    13,  6.30852e-03,  5.67970e+01, -6.56202e-02, -1.05949e-01, -1.02156e-02,  2.93981e-04,
    14, -6.30888e-03,  5.67970e+01, -6.56202e-02, -1.05949e-01,  1.02156e-02, -2.93982e-04,
    15, -1.43147e-07,  5.68317e+01, -1.00237e+00, -5.82373e-02,    0.0,        0.0,    
"F R A M E   E L E M E N T   E N D   F O R C E S  (local)"
Elmnt , Node  ,    Nx     ,    Vy   ,     Vz   ,     Txx   ,    Myy  ,     Mzz
     1,     1,  2.82144e+02, -7.61855e+01, -4.80592e+00,  1.24542e+00,  1.22085e+02, -1.03451e+04,
     1,     4, -2.82144e+02,  7.61863e+01,  4.80592e+00, -1.24542e+00,  2.62240e+02,  3.50305e+03,
     2,     2,  2.82143e+02, -7.61855e+01,  4.80592e+00, -1.24542e+00, -1.22085e+02, -1.03451e+04,
     2,     5, -2.82143e+02,  7.61863e+01, -4.80592e+00,  1.24542e+00, -2.62240e+02,  3.50305e+03,
     3,     3,  3.63009e+03, -4.75983e+01,      0.0,       0.0,       0.0,  -1.13209e+04,
     3,     6, -3.63009e+03,  4.75990e+01,      0.0,       0.0,       0.0,  -2.07065e+03,
     4,     4,  1.14385e+02, -1.00333e+02,  3.45824e+01, -1.65599e+00, -1.01919e+03, -9.65708e+03,
     4,     7, -1.14385e+02,  1.00334e+02, -3.45824e+01,  1.65599e+00, -2.43933e+03, -1.37066e+03,
     5,     5,  1.14385e+02, -1.00333e+02, -3.45824e+01,  1.65600e+00,  1.01919e+03, -9.65708e+03,
     5,     8, -1.14385e+02,  1.00334e+02,  3.45824e+01, -1.65600e+00,  2.43933e+03, -1.37066e+03,
     6,     6,  2.91701e+03,  6.90649e-01,      0.0,       0.0,       0.0,  -1.53499e+04,
     6,     9, -2.91701e+03, -6.89721e-01,      0.0,       0.0,       0.0,  -9.97105e+03,
     7,     7,  7.86019e+01, -1.04247e+02,  6.93842e+01, -1.25228e+00, -3.97611e+03, -9.41780e+03,
     7,    10, -7.86019e+01,  1.04248e+02, -6.93842e+01,  1.25228e+00, -5.04372e+03, -5.44131e+03,
     8,     8,  7.86019e+01, -1.04247e+02, -6.93842e+01,  1.25228e+00,  3.97611e+03, -9.41780e+03,
     8,    11, -7.86019e+01,  1.04248e+02,  6.93842e+01, -1.25228e+00,  5.04372e+03, -5.44131e+03,
     9,     9,  1.93998e+03,  8.51123e+00,      0.0,       0.0,       0.0,  -1.66659e+04,
     9,    12, -1.93998e+03, -8.51002e+00,      0.0,       0.0,       0.0,  -1.45076e+04,
    10,    10,  1.06632e+02, -6.98133e+01,  3.50916e+01, -1.64901e+00, -3.67394e+03, -7.63284e+03,
    10,    13, -1.06632e+02,  6.98151e+01, -3.50916e+01,  1.64901e+00, -3.34490e+03, -9.40402e+03,
    11,    11,  1.06632e+02, -6.98133e+01, -3.50916e+01,  1.64902e+00,  3.67394e+03, -7.63284e+03,
    11,    14, -1.06632e+02,  6.98151e+01,  3.50916e+01, -1.64902e+00,  3.34490e+03, -9.40402e+03,
    12,    12,  8.35329e+02, -6.03638e+01,      0.0,       0.0,       0.0,  -1.65501e+04,
    12,    15, -8.35329e+02,  6.03656e+01,      0.0,       0.0,       0.0,  -1.96206e+04,
    13,     4,  5.24420e+00,  9.27356e-04,  2.36100e+02,      0.0,  -7.81318e+03, -5.19856e+00,
    13,     5, -5.24420e+00,  9.27364e-04,  2.36100e+02,      0.0,   7.81318e+03,  5.19856e+00,
    14,     5,  4.18188e+01, -2.00766e-01, -6.83410e+01,  1.26952e+02,  1.05500e+04, -8.09855e+00,
    14,     6, -4.18181e+01,  1.99838e-01,  3.56538e+02, -1.26952e+02,  1.53703e+04, -1.66184e+01,
    15,     6,  4.18181e+01,  1.99838e-01,  3.56538e+02, -1.26952e+02, -1.53703e+04,  1.66184e+01,
    15,     4, -4.18188e+01, -2.00766e-01, -6.83410e+01,  1.26952e+02, -1.05500e+04,  8.09855e+00,
